Product	Edition	Channel	FileName	Status	SourceUrl	FullPath	Bytes	SHA256	Kind	Notes
2014/RTM	Standard	RTM_Standalone	HOffice2014.exe	Already present		/Users/sihunjeong/Downloads/hancom-office-archive/2014/RTM/Standard/HOffice2014.exe	1886693832	0f1368181a290048551b69fd4541b12257ff96467c20cc95ce121b415fcd8f53	exe	Observed working Hancom CDN installer
2014/RTM	Home	RTM_Standalone	HOffice2014_Home.exe	Already present		/Users/sihunjeong/Downloads/hancom-office-archive/2014/RTM/Home/HOffice2014_Home.exe	1886081232	67a0783a9318dcc420d989f3384f32d397cb70bab6d955d4a8605f5582d9cd8f	exe	Observed working Hancom CDN Home installer
2014/RTM	Hwp	RTM_Standalone	Hwp2014.exe	Already present		/Users/sihunjeong/Downloads/hancom-office-archive/2014/RTM/Hwp/Hwp2014.exe	1566801368	4aee67a9ecf736acf41832919aa844f4c072e9567e37833b6474bd2fcaddf97f	exe	Observed working Hancom CDN Hwp installer
2014/RTM	Standard	RTM_WebInstaller	2014HancomDN_HOffice.exe	Already present		/Users/sihunjeong/Downloads/hancom-office-archive/2014/RTM/Standard/2014HancomDN_HOffice.exe	426568	e37e2425854474b30db9928f1335bd04a1d6e719677fa7e2c59a99510f473e3d	exe	Observed working Hancom CDN web installer
2014/RTM	Hwp	RTM_WebInstaller	2014HancomDN_Hwp.exe	Already present		/Users/sihunjeong/Downloads/hancom-office-archive/2014/RTM/Hwp/2014HancomDN_Hwp.exe	430392	4440d2de6e609704d7dab3a26a1941561ec384eba204f74c8fece42969a6bd8a	exe	Observed working Hancom CDN web installer
2014/RTM	Home	RTM_WebInstaller	2014HancomDN_Home.exe	Already present		/Users/sihunjeong/Downloads/hancom-office-archive/2014/RTM/Home/2014HancomDN_Home.exe	426592	25b8434431f709c6bcd0f0c3970861a9ed6311c8f28ddb8dafc33f1683375162	exe	Observed working Hancom CDN web installer
2014/RTM	ESD	RTM_WebInstaller	2014HancomDN_ESD.exe	Already present		/Users/sihunjeong/Downloads/hancom-office-archive/2014/RTM/ESD/2014HancomDN_ESD.exe	426640	64edb30be3ae50acdb6eaaae36a2105d6af8125e2bd60d9ecc094b38440dc71e	exe	Observed working Hancom CDN ESD web installer
2014/VP	Standard	VP_WebInstaller	2014HancomVPDN_HOffice.exe	Already present		/Users/sihunjeong/Downloads/hancom-office-archive/2014/VP/Standard/2014HancomVPDN_HOffice.exe	430392	6e59a61ab0ce626475a2a554c6ee98d79bb756ed2b8cb2e6169b633e85782bc7	exe	Observed working Hancom CDN VP web installer
2014/VP	Hwp	VP_WebInstaller	2014HancomVPDN_Hwp.exe	Already present		/Users/sihunjeong/Downloads/hancom-office-archive/2014/VP/Hwp/2014HancomVPDN_Hwp.exe	430392	4440d2de6e609704d7dab3a26a1941561ec384eba204f74c8fece42969a6bd8a	exe	Observed working Hancom CDN VP web installer
2014/VP	Home	VP_WebInstaller	2014HancomVPDN_Home.exe	Already present		/Users/sihunjeong/Downloads/hancom-office-archive/2014/VP/Home/2014HancomVPDN_Home.exe	430400	7fcd1909255d0cdce90d80441734620c1cd2dd47394cd1b3206a4a8a2feb9032	exe	Observed working Hancom CDN VP Home web installer
2014/VP	ESD	VP_WebInstaller	2014HancomVPDN_ESD.exe	Already present		/Users/sihunjeong/Downloads/hancom-office-archive/2014/VP/ESD/2014HancomVPDN_ESD.exe	430728	a0f0dc6abdcf74a148a80e41aa86b595f1efa05c26f2c388a21a4c604c154249	exe	Observed working Hancom CDN VP ESD web installer
2014/VP	macOS/Home	VP_macOS_Home	HwpMac2014VP_Home.pkg	Already present		/Users/sihunjeong/Downloads/hancom-office-archive/2014/VP/macOS/Home/HwpMac2014VP_Home.pkg	514464549	e203098c0cf73d1bbc7bfbb5b79ee67e28dda7cdcf4ea40068f227711d960306	pkg	Observed working Hancom CDN; mypage referer used
2014/VP	Extras/EzPhoto3/Trial	VP_EzPhoto3_Trial	EzPhoto3VP_trial.exe	Already present		/Users/sihunjeong/Downloads/hancom-office-archive/2014/VP/Extras/EzPhoto3/Trial/EzPhoto3VP_trial.exe	250566600	9dcf84ba5624dd7887290547a36b748af39895846aaa182acd00e685ea20acc5	exe	Observed working Hancom CDN EzPhoto 3 VP trial
2014	Tools/HancomUpdate	AutoUpdate2014_Bootstrap	hncUpdate90P1.exe	Downloaded and magic-checked	https://cdn.hancom.com/pds/hnc/Product/Patch/Office/hncUpdate90P1.exe	/Users/sihunjeong/Downloads/hancom-office-archive/2014/Tools/HancomUpdate/hncUpdate90P1.exe	1131016	2b83ed3711fc07d0441ff9de557d6dc16b2418e0a4d0421a1e0dd220fac4da35	exe	Hancom Auto Update 2014 bootstrap patch; filename and official download-center entry confirmed, direct CDN path unresolved
2014	Viewer/Linux-i386	Linux_i386_DEB	hwpviewer_9.20.0.346_i386.deb	Already present		/Users/sihunjeong/Downloads/hancom-office-archive/2014/Viewer/Linux-i386/hwpviewer_9.20.0.346_i386.deb	75003126	35871d0d117e3b506242cf2244903ca14b659650ec42ea1e048361738957523a	deb	Observed working Hancom CDN Linux i386 viewer
2014	Viewer/Linux-i386-RPM	Linux_i386_RPM	hancomofficehwpviewer-9.20.0.569-1.i386.rpm	Already present		/Users/sihunjeong/Downloads/hancom-office-archive/2014/Viewer/Linux-i386-RPM/hancomofficehwpviewer-9.20.0.569-1.i386.rpm	99139762	1b3f2c0156753c4ad9d5e3474ec2a3a1a4bced3273768fa63c97f1cd2d59970b	rpm	Observed working Hancom CDN RPM i386 viewer
2014	Viewer/Linux-x86_64-RPM	Linux_x86_64_RPM	hancomofficehwpviewer-9.20.0.570-1.x86_64.rpm	Already present		/Users/sihunjeong/Downloads/hancom-office-archive/2014/Viewer/Linux-x86_64-RPM/hancomofficehwpviewer-9.20.0.570-1.x86_64.rpm	98615450	62423a668fb14d150e9c0e48d46b76c781c465529bd08839546146b2b39251cb	rpm	Observed working Hancom CDN RPM x86_64 viewer
2014	Viewer/Linux/Latest/Ubuntu-amd64	Linux_Ubuntu_amd64_9.20.0.1573	hancomoffice-hwpviewer-Ubuntu-amd64.deb	Downloaded and magic-checked	https://cdn.hancom.com/pds/hnc/VIE/hancomoffice-hwpviewer-Ubuntu-amd64.deb	/Users/sihunjeong/Downloads/hancom-office-archive/2014/Viewer/Linux/Latest/Ubuntu-amd64/hancomoffice-hwpviewer-Ubuntu-amd64.deb	74986562	106fd4f65d4e8008a050d192296d5ad2797e3159d293d5f3b35d813936d5198f	deb	Later generic-filename Ubuntu amd64 viewer; package version reported as 9.20.0.1573
2014	Viewer/Linux/Latest/Ubuntu-i386	Linux_Ubuntu_i386_9.20.0.1574	hancomoffice-hwpviewer-Ubuntu-i386.deb	Downloaded and magic-checked	https://cdn.hancom.com/pds/hnc/VIE/hancomoffice-hwpviewer-Ubuntu-i386.deb	/Users/sihunjeong/Downloads/hancom-office-archive/2014/Viewer/Linux/Latest/Ubuntu-i386/hancomoffice-hwpviewer-Ubuntu-i386.deb	75035794	f8ae451893e56023d57577db5fbea14425129de91a391b66c1c20b4590d178b3	deb	Later generic-filename Ubuntu i386 viewer; package version reported as 9.20.0.1574
2014	Viewer/Linux/Latest/Fedora-x86_64	Linux_Fedora_x86_64_9.20.0.1575-1	hancomoffice-hwpviewer-Fedora.x86_64.rpm	Downloaded and magic-checked	https://cdn.hancom.com/pds/hnc/VIE/hancomoffice-hwpviewer-Fedora.x86_64.rpm	/Users/sihunjeong/Downloads/hancom-office-archive/2014/Viewer/Linux/Latest/Fedora-x86_64/hancomoffice-hwpviewer-Fedora.x86_64.rpm	98739449	74eec1cab53e55bf29f34597081c31eae55cc947fae3a78f4efb4401a6d8f71c	rpm	Later generic-filename Fedora x86_64 viewer; package version reported as 9.20.0.1575-1
2014	Updates	Office_2017-11-28	Hoffice2014Update_20171128.exe	Already present		/Users/sihunjeong/Downloads/hancom-office-archive/2014/Updates/Hoffice2014Update_20171128.exe	429929064	1dc08ee5bd8ba3e4a52a6961a8d1f0240956e785ba024254c032f4dbbfc2febf	exe	Observed working Hancom CDN update
2014	Updates	Office_2018-02-08	Hoffice2014Update_20180208.exe	Already present		/Users/sihunjeong/Downloads/hancom-office-archive/2014/Updates/Hoffice2014Update_20180208.exe	429934040	7a741a6f65fb0944c92e531d75c8e04603447acff0925b1b572ef017c5f0b3bd	exe	Observed working Hancom CDN update
2014	Updates	Office_2018-04-26	Hoffice2014Update_20180426.exe	Already present		/Users/sihunjeong/Downloads/hancom-office-archive/2014/Updates/Hoffice2014Update_20180426.exe	429934744	1aeb6ebf99a811682749454464977fa5c844480011cbce47f10387d68b0f6f90	exe	Observed working Hancom CDN update
2014	Updates	Office_2018-05-31	Hoffice2014Update_20180531.exe	Already present		/Users/sihunjeong/Downloads/hancom-office-archive/2014/Updates/Hoffice2014Update_20180531.exe	429935072	32873af660e0d2d555ae04f43e955bd39627e930726ef93baeefae4bffc4ed0b	exe	Observed working Hancom CDN update
